Year, All_Organs, Kidney, Liver, Pancreas, Kidney_Pancreas, Heart, Lung, Heart_Lung, Intestine, All_Organs_DD, Kidney_DD, Liver_DD, Pancreas_DD, Kidney_Pancreas_DD, Heart_DD, Lung_DD, Heart-Lung_DD, Intestine_DD, All Organs_LD, Kidney_LD, Liver_LD, Lung_LD
1988,26,24,1,0,1,0,0,0,0,20,18,1,0,1,0,0,0,0,6,6,0,0
1989,64,39,17,1,4,3,0,0,0,49,24,17,1,4,3,0,0,0,15,15,0,0
1990,142,56,54,3,6,20,3,0,0,133,47,54,3,6,20,3,0,0,9,9,0,0
1991,146,54,51,2,4,25,8,2,0,135,43,51,2,4,25,8,2,0,11,11,0,0
1992,134,53,36,1,2,25,17,0,0,120,39,36,1,2,25,17,0,0,14,14,0,0
1993,159,43,66,1,9,22,18,0,0,151,35,66,1,9,22,18,0,0,8,8,0,0
1994,143,34,62,0,7,27,13,0,0,137,28,62,0,7,27,13,0,0,6,6,0,0
1995,151,53,54,1,4,23,16,0,0,133,35,54,1,4,23,16,0,0,18,18,0,0
1996,148,68,37,1,5,22,15,0,0,122,42,37,1,5,22,15,0,0,26,26,0,0
1997,135,74,24,0,5,18,13,1,0,115,54,24,0,5,18,13,1,0,20,20,0,0
1998,124,69,23,1,3,16,12,0,0,94,41,23,1,3,16,10,0,0,30,28,0,2
1999,125,63,23,2,4,17,16,0,0,92,35,18,2,4,17,16,0,0,33,28,5,0
2000,136,55,37,1,6,15,22,0,0,92,21,27,1,6,15,22,0,0,44,34,10,0
2001,141,58,40,1,5,14,23,0,0,99,24,32,1,5,14,23,0,0,42,34,8,0
2002,116,63,29,1,1,9,13,0,0,76,26,26,1,1,9,13,0,0,40,37,3,0
2003,143,68,28,2,6,20,19,0,0,108,36,25,2,6,20,19,0,0,35,32,3,0
2004,155,73,36,7,5,9,25,0,0,112,37,29,7,5,9,25,0,0,43,36,7,0
2005,200,94,40,12,5,13,36,0,0,151,51,34,12,5,13,36,0,0,49,43,6,0
2006,229,107,58,9,6,15,34,0,0,170,57,49,9,6,15,34,0,0,59,50,9,0
2007,229,102,83,8,4,12,19,0,1,182,59,79,8,4,12,19,0,1,47,43,4,0
2008,234,103,86,6,8,12,19,0,0,182,57,80,6,8,12,19,0,0,52,46,6,0
2009,220,79,87,14,3,14,22,0,1,186,46,86,14,3,14,22,0,1,34,33,1,0
2010,197,69,78,4,6,21,19,0,0,172,45,77,4,6,21,19,0,0,25,24,1,0
2011,164,76,45,3,6,15,19,0,0,146,58,45,3,6,15,19,0,0,18,18,0,0
2012,174,68,68,4,6,13,15,0,0,158,53,67,4,6,13,15,0,0,16,15,1,0
2013,169,65,67,3,5,16,13,0,0,145,48,60,3,5,16,13,0,0,24,17,7,0
2014,149,58,59,0,1,15,16,0,0,129,46,51,0,1,15,16,0,0,20,12,8,0
2015,180,85,55,0,7,20,13,0,0,155,67,48,0,7,20,13,0,0,25,18,7,0
2016,216,99,68,0,2,21,26,0,0,184,72,63,0,2,21,26,0,0,32,27,5,0
2017,189,104,50,1,2,11,21,0,0,157,76,46,1,2,11,21,0,0,32,28,4,0